landmark_sequence_order,question_order,title,instructions,tile_order,name,image_path,correct
"12","5","Pick 5: Statues in Mauritius","5 of the statues below are found here in Mauritius, 4 aren't. Tap a tile to pick it - tap again to unpick. Pick as many as you think are correct, then tap the submit button. **IMPORTANT** you don't have to pick 5 - you get 1 point for each correct answer, but a minus point for a wrong answer, so be careful. You could score **+5** 🤩 but you could score **-4** 😢.","2","Queen Victoria Statue","port-louis-queen-victoria-statue.jpg","true"
"12","5","Pick 5: Statues in Mauritius","5 of the statues below are found here in Mauritius, 4 aren't. Tap a tile to pick it - tap again to unpick. Pick as many as you think are correct, then tap the submit button. **IMPORTANT** you don't have to pick 5 - you get 1 point for each correct answer, but a minus point for a wrong answer, so be careful. You could score **+5** 🤩 but you could score **-4** 😢.","3","King Edward VII Statue","port-louis-king-edward-vii-statue.jpg","true"
"12","5","Pick 5: Statues in Mauritius","5 of the statues below are found here in Mauritius, 4 aren't. Tap a tile to pick it - tap again to unpick. Pick as many as you think are correct, then tap the submit button. **IMPORTANT** you don't have to pick 5 - you get 1 point for each correct answer, but a minus point for a wrong answer, so be careful. You could score **+5** 🤩 but you could score **-4** 😢.","4","Statue of Maurice Curé","port-louis-statue-of-maurice-cure.jpg","true"
"12","5","Pick 5: Statues in Mauritius","5 of the statues below are found here in Mauritius, 4 aren't. Tap a tile to pick it - tap again to unpick. Pick as many as you think are correct, then tap the submit button. **IMPORTANT** you don't have to pick 5 - you get 1 point for each correct answer, but a minus point for a wrong answer, so be careful. You could score **+5** 🤩 but you could score **-4** 😢.","5","Anjalay Coopen Statue","port-louis-anjalay-coopen-statue.jpg","true"
"12","5","Pick 5: Statues in Mauritius","5 of the statues below are found here in Mauritius, 4 aren't. Tap a tile to pick it - tap again to unpick. Pick as many as you think are correct, then tap the submit button. **IMPORTANT** you don't have to pick 5 - you get 1 point for each correct answer, but a minus point for a wrong answer, so be careful. You could score **+5** 🤩 but you could score **-4** 😢.","6","David Livingstone Statue","4-12.jpg","false"
"12","5","Pick 5: Statues in Mauritius","5 of the statues below are found here in Mauritius, 4 aren't. Tap a tile to pick it - tap again to unpick. Pick as many as you think are correct, then tap the submit button. **IMPORTANT** you don't have to pick 5 - you get 1 point for each correct answer, but a minus point for a wrong answer, so be careful. You could score **+5** 🤩 but you could score **-4** 😢.","7","Duke of Wellington Statue","5-1.jpg","false"
"12","5","Pick 5: Statues in Mauritius","5 of the statues below are found here in Mauritius, 4 aren't. Tap a tile to pick it - tap again to unpick. Pick as many as you think are correct, then tap the submit button. **IMPORTANT** you don't have to pick 5 - you get 1 point for each correct answer, but a minus point for a wrong answer, so be careful. You could score **+5** 🤩 but you could score **-4** 😢.","8","King George IV Statue","1-14.jpg","false"
"12","5","Pick 5: Statues in Mauritius","5 of the statues below are found here in Mauritius, 4 aren't. Tap a tile to pick it - tap again to unpick. Pick as many as you think are correct, then tap the submit button. **IMPORTANT** you don't have to pick 5 - you get 1 point for each correct answer, but a minus point for a wrong answer, so be careful. You could score **+5** 🤩 but you could score **-4** 😢.","9","Prince Albert Memorial","2-7.jpg","false"
"15","5","Pick 5: Visitors to Mauritius","5 of the places below are among the top 5 sources of visitors to Mauritius, 4 aren't. Tap a tile to pick it - tap again to unpick. Pick as many as you think are correct, then tap the submit button. **IMPORTANT** you don't have to pick 5 - you get 1 point for each correct answer, but a minus point for a wrong answer, so be careful. You could score **+5** 🤩 but you could score **-4** 😢.","1","France","","true"
"15","5","Pick 5: Visitors to Mauritius","5 of the places below are among the top 5 sources of visitors to Mauritius, 4 aren't. Tap a tile to pick it - tap again to unpick. Pick as many as you think are correct, then tap the submit button. **IMPORTANT** you don't have to pick 5 - you get 1 point for each correct answer, but a minus point for a wrong answer, so be careful. You could score **+5** 🤩 but you could score **-4** 😢.","2","UK","","true"
"15","5","Pick 5: Visitors to Mauritius","5 of the places below are among the top 5 sources of visitors to Mauritius, 4 aren't. Tap a tile to pick it - tap again to unpick. Pick as many as you think are correct, then tap the submit button. **IMPORTANT** you don't have to pick 5 - you get 1 point for each correct answer, but a minus point for a wrong answer, so be careful. You could score **+5** 🤩 but you could score **-4** 😢.","3","Reunion","","true"
"15","5","Pick 5: Visitors to Mauritius","5 of the places below are among the top 5 sources of visitors to Mauritius, 4 aren't. Tap a tile to pick it - tap again to unpick. Pick as many as you think are correct, then tap the submit button. **IMPORTANT** you don't have to pick 5 - you get 1 point for each correct answer, but a minus point for a wrong answer, so be careful. You could score **+5** 🤩 but you could score **-4** 😢.","4","Germany","","true"
"15","5","Pick 5: Visitors to Mauritius","5 of the places below are among the top 5 sources of visitors to Mauritius, 4 aren't. Tap a tile to pick it - tap again to unpick. Pick as many as you think are correct, then tap the submit button. **IMPORTANT** you don't have to pick 5 - you get 1 point for each correct answer, but a minus point for a wrong answer, so be careful. You could score **+5** 🤩 but you could score **-4** 😢.","5","South Africa","","true"
"15","5","Pick 5: Visitors to Mauritius","5 of the places below are among the top 5 sources of visitors to Mauritius, 4 aren't. Tap a tile to pick it - tap again to unpick. Pick as many as you think are correct, then tap the submit button. **IMPORTANT** you don't have to pick 5 - you get 1 point for each correct answer, but a minus point for a wrong answer, so be careful. You could score **+5** 🤩 but you could score **-4** 😢.","6","India","","false"
"15","5","Pick 5: Visitors to Mauritius","5 of the places below are among the top 5 sources of visitors to Mauritius, 4 aren't. Tap a tile to pick it - tap again to unpick. Pick as many as you think are correct, then tap the submit button. **IMPORTANT** you don't have to pick 5 - you get 1 point for each correct answer, but a minus point for a wrong answer, so be careful. You could score **+5** 🤩 but you could score **-4** 😢.","7","Switzerland","","false"
"15","5","Pick 5: Visitors to Mauritius","5 of the places below are among the top 5 sources of visitors to Mauritius, 4 aren't. Tap a tile to pick it - tap again to unpick. Pick as many as you think are correct, then tap the submit button. **IMPORTANT** you don't have to pick 5 - you get 1 point for each correct answer, but a minus point for a wrong answer, so be careful. You could score **+5** 🤩 but you could score **-4** 😢.","8","Italy","","false"
"15","5","Pick 5: Visitors to Mauritius","5 of the places below are among the top 5 sources of visitors to Mauritius, 4 aren't. Tap a tile to pick it - tap again to unpick. Pick as many as you think are correct, then tap the submit button. **IMPORTANT** you don't have to pick 5 - you get 1 point for each correct answer, but a minus point for a wrong answer, so be careful. You could score **+5** 🤩 but you could score **-4** 😢.","9","China","","false"
"8","5","Pick 5: Thoroughfares of Port Louis","5 of the streets below are real thoroughfares here in Port Louis, 4 aren't. Tap a tile to pick it - tap again to unpick. Pick as many as you think are correct, then tap the submit button. **IMPORTANT** you don't have to pick 5 - you get 1 point for each correct answer, but a minus point for a wrong answer, so be careful. You could score **+5** 🤩 but you could score **-4** 😢.","1","Queen St","","true"
"8","5","Pick 5: Thoroughfares of Port Louis","5 of the streets below are real thoroughfares here in Port Louis, 4 aren't. Tap a tile to pick it - tap again to unpick. Pick as many as you think are correct, then tap the submit button. **IMPORTANT** you don't have to pick 5 - you get 1 point for each correct answer, but a minus point for a wrong answer, so be careful. You could score **+5** 🤩 but you could score **-4** 😢.","2","Louis Pasteur St","","true"
"8","5","Pick 5: Thoroughfares of Port Louis","5 of the streets below are real thoroughfares here in Port Louis, 4 aren't. Tap a tile to pick it - tap again to unpick. Pick as many as you think are correct, then tap the submit button. **IMPORTANT** you don't have to pick 5 - you get 1 point for each correct answer, but a minus point for a wrong answer, so be careful. You could score **+5** 🤩 but you could score **-4** 😢.","3","Remy Ollier St","","true"
"8","5","Pick 5: Thoroughfares of Port Louis","5 of the streets below are real thoroughfares here in Port Louis, 4 aren't. Tap a tile to pick it - tap again to unpick. Pick as many as you think are correct, then tap the submit button. **IMPORTANT** you don't have to pick 5 - you get 1 point for each correct answer, but a minus point for a wrong answer, so be careful. You could score **+5** 🤩 but you could score **-4** 😢.","4","Dauphine St","","true"
"8","5","Pick 5: Thoroughfares of Port Louis","5 of the streets below are real thoroughfares here in Port Louis, 4 aren't. Tap a tile to pick it - tap again to unpick. Pick as many as you think are correct, then tap the submit button. **IMPORTANT** you don't have to pick 5 - you get 1 point for each correct answer, but a minus point for a wrong answer, so be careful. You could score **+5** 🤩 but you could score **-4** 😢.","5","St Louis St","","true"
"8","5","Pick 5: Thoroughfares of Port Louis","5 of the streets below are real thoroughfares here in Port Louis, 4 aren't. Tap a tile to pick it - tap again to unpick. Pick as many as you think are correct, then tap the submit button. **IMPORTANT** you don't have to pick 5 - you get 1 point for each correct answer, but a minus point for a wrong answer, so be careful. You could score **+5** 🤩 but you could score **-4** 😢.","6","King St","","false"
"8","5","Pick 5: Thoroughfares of Port Louis","5 of the streets below are real thoroughfares here in Port Louis, 4 aren't. Tap a tile to pick it - tap again to unpick. Pick as many as you think are correct, then tap the submit button. **IMPORTANT** you don't have to pick 5 - you get 1 point for each correct answer, but a minus point for a wrong answer, so be careful. You could score **+5** 🤩 but you could score **-4** 😢.","7","Marie Curie St","","false"
"8","5","Pick 5: Thoroughfares of Port Louis","5 of the streets below are real thoroughfares here in Port Louis, 4 aren't. Tap a tile to pick it - tap again to unpick. Pick as many as you think are correct, then tap the submit button. **IMPORTANT** you don't have to pick 5 - you get 1 point for each correct answer, but a minus point for a wrong answer, so be careful. You could score **+5** 🤩 but you could score **-4** 😢.","8","Margaret Rd","","false"
"8","5","Pick 5: Thoroughfares of Port Louis","5 of the streets below are real thoroughfares here in Port Louis, 4 aren't. Tap a tile to pick it - tap again to unpick. Pick as many as you think are correct, then tap the submit button. **IMPORTANT** you don't have to pick 5 - you get 1 point for each correct answer, but a minus point for a wrong answer, so be careful. You could score **+5** 🤩 but you could score **-4** 😢.","9","Boulevard Albert","","false"
