title,address,type,latitude,longitude,about_site_label,about_site_text,about_subject_label,about_subject_text,interesting_fact,image_path,external_link
Aurelie Perrine Passenger Terminal,"Port Louis, Mauritius",building,-20.155356,57.4982434,About the building,"This is Port Louis's passenger ferry terminal, run by the Mauritius Ports Authority and operated by Mauritius Shipping Corporation under the Coraline service. From here, the ms Mauritius Trochetia sails several times a month to Rodrigues and Réunion, carrying both passengers and cargo - making this terminal the main sea link between mainland Mauritius and its outer islands. Rodrigues itself is a small autonomous island within the Republic of Mauritius, just 108 km² and home to around 44,000 people, most of Creole and African descent, governed from its own capital, Port Mathurin, by a locally elected Regional Assembly that's run the island's own affairs since it gained autonomy in 2002 - a genuinely distinct island community, not simply a satellite of the mainland. The terminal itself offers a canteen, money changer and duty-free shop for travellers waiting to board.",,,"The crossing to Rodrigues, roughly 560km east across open ocean, takes about 36 hours outbound and around 24 hours coming back (longer in rough seas) - for most of the year, the Mauritius Trochetia is Rodrigues's lifeline for both people and freight, alongside its short air link.",port-louis-aurelie-perrine.jpg,
Eastern Roche Bois Cemetery,"Cemetery Rd, Port Louis, Mauritius",history,-20.1476739,57.5016246,About this address,"At the eastern edge of Port Louis, in the Roche Bois neighbourhood close to the docks, a dark basalt archway topped with a cross marks the entrance to this historic public cemetery. Rows of graves stretch back beneath the palms, generations of the city's residents laid to rest here - and the site is also formally recognised by the Commonwealth War Graves Commission for the burials it holds.",,,"This isn't the only Commonwealth war cemetery in the city - Port Louis's Western Cemetery holds eight First World War graves and the New Western Cemetery two more, spread across three separate burial grounds rather than one central site.",port-louis-eastern-roche-bois-cemetery.jpg,
Fort George,"Port Louis, Mauritius",history,-20.1472519,57.4913463,About this address,"This is the site of Fort George, the largest stone fortification ever built in Mauritius, guarding the northern entrance to Port Louis harbour. A fortification has stood here since Mahé de La Bourdonnais's time in 1730, but the British rebuilt it in earnest through the 19th century - naming it for King George III and IV - both to deter a French attack and to keep the island's slave-owning planters in check after the 1831 Mauritius Rebellion. By 1882 it carried a mix of upgraded Rifled Muzzle Loading guns, making it the most heavily armed post at the harbour mouth.",,,"The crisis that built this fort was a genuine standoff: when word came in 1832 that slavery might be abolished without compensating owners, planters called it ""the signal of a civil war,"" formed an armed Volunteer corps of their own, and the government ordered every inhabitant to surrender their weapons to head off a possible uprising.",port-louis-fort-george.jpg,
Christian Decotter Cruise Terminal,"Port Louis, Mauritius",building,-20.1564475,57.4921317,About the building,"This cruise-ship passenger terminal on the Port Louis waterfront at Les Salines carries the name of Christian Decotter, a Mauritian aviation and tourism figure who spent decades in commercial aviation and travel management with companies including Rogers and MTTB, and headed the Concorde travel agency from 1979. Renovated and reopened in 2008, the terminal was the first in the region able to berth the world's largest cruise ships - a 7,500-square-metre facility able to process up to 4,000 passengers at peak times across two access bridges, cementing Port Louis Harbour's role as the premier cruise hub of the Indian Ocean.",,,"Decotter became the public face of Mauritian tourism policy in the 1990s: spokesperson for the PMSD party, then appointed Chairman of the Tourism Advisory Board in March 1995 under Minister Xavier-Luc Duval. Off duty he was a keen sportsman - a competitive volleyball and basketball player and multiple island tennis-tournament winner - before his death in July 2003.",port-louis-christian-decotter-cruise-terminal.jpg,
Pere Laval Church & Museum,"27 Ste Croix Rd, Port Louis, Mauritius",religious_building,-20.1481173,57.5291991,About the church,"This is a major Catholic pilgrimage shrine in the Sainte-Croix district, built around the tomb of Father Jacques-Désiré Laval - a French missionary priest and trained doctor who spent nearly 23 years ministering to Mauritius's recently freed slaves, credited with converting 67,000 people to Christianity. Known as the ""Apostle of Mauritius,"" he died on 9 September 1864, and more than thirty thousand mourners followed his casket to the tomb opposite the church where it still lies today. He was beatified by Pope John Paul II in 1979, and the site is often described as the Lourdes of the Indian Ocean, with numerous miracles attributed to pilgrims who've visited since.",,,"Every 8 September, people set out from across Mauritius on foot for an overnight march to reach the shrine by his feast day on the 9th - tens of thousands of pilgrims of every faith, some travelling from as far as France, South Africa and Britain, gather to mark the anniversary of his death.",port-louis-pere-laval-church.jpg,
Plateau,"Military Rd, Port Louis, Mauritius",viewpoint,-20.1556021,57.5223588,About the view,"Climb up to this elevated vantage point - Le Plateau - off Military Road, and the packed rooftops of the capital spread out below you, down to the harbour and the Indian Ocean beyond. The name reflects the area's own history: after repeated disasters down in Port Louis itself - the great fire of 1816, recurring malaria outbreaks, cyclones - much of the population moved up here, to this cooler, healthier central plateau, and many residents still live on these slopes today.",,,"On a clear day the view stretches from the high-rise towers of the city centre, past the harbour's cranes and cargo ships, all the way out to open ocean - a single sightline over more than two centuries of Port Louis's growth from a fire-prone colonial port to a modern capital.",port-louis-plateau.jpg,
Viewpoint of Port-Louis,"Signal Mountain Road, Mauritius",viewpoint,-20.1783,57.5010142,About the view,"Reach the summit of Signal Mountain - Montagne des Signaux, a 323-metre peak overlooking Port Louis - by the tarred road that makes it the easiest of the island's peaks to climb, on foot or by vehicle. The mountain takes its name from a French-era signal post once used to relay news of approaching ships to the harbour below, long since replaced by a modern antenna farm.",,,"The signal station here dates to the French colonial period, when lookouts used flag signals from the summit to alert Port Louis merchants to incoming ships hours before they reached the harbour.",port-louis-viewpoint.jpg,
Rajiv Gandhi Science Center,"Old Moka Rd, Port Louis, Mauritius",museum,-20.173252,57.4845504,About the museum,"This interactive science museum in Port Louis was built through Indian government assistance, aimed at kindling scientific curiosity among young Mauritians through hands-on exhibits, models and outreach programmes - supplementing formal school science education with lectures, seminars and public science fairs.",,,"The centre traces back to a 1994 Trust Fund Act; its foundation stone was laid in 1995 in the presence of Sonia Gandhi, and it finally opened to the public on 30 November 2004, a full decade after the enabling legislation was passed.",port-louis-rajiv-gandhi-science-centre.jpg,
La Tour Koenig,"Tour Koenig, Port Louis, Mauritius",history,-20.1799149,57.4697973,About this address,"This stone tower went up in the early 19th century, built by Henry Koenig - one of the founders of the Mauritius Commercial Bank - as a gift for his father, Jean Antoine Koenig, an immigrant from the small Bavarian town of Miltenberg am Main. It was never a functioning mill, despite the shape - homesickness for the towers lining his father's hometown riverfront, not any practical purpose, is what actually shaped its design. Standing about 17 metres tall in a Limousin stonework style unique on the island, it's now a national monument managed by the National Heritage Fund, within the grounds of the Nelson Mandela Cultural Centre.",,,The tower was left permanently unfinished after a worker fell to his death while placing its fifth carved stone coping - construction was never resumed.,port-louis-la-tour-koenig.jpg,
Martello Tower,"Port Louis, Mauritius",history,-20.1678097,57.4719236,About this address,"This squat coastal defence tower was built by the British between 1832 and 1835, one of five raised around Mauritius after the 1810 conquest from France, amid fears of a French counter-attack. Its design copied the Torra di Mortella in Corsica, which had impressed British forces for its thick basalt walls, flat gun roof and self-contained garrison quarters. Restored in 1992 with funding from the Mauritian government and several foreign missions, it reopened as a museum in 2000 and is now a protected national heritage site.",,,"Despite being purpose-built for war, none of Mauritius's Martello towers ever fired a shot in anger - they were rendered obsolete by advances in artillery before any French attack materialised.",port-louis-martello-tower.jpg,
Memoire Des Naufrages Du Stargate,"Port Louis, Mauritius",history,-20.1539415,57.4875709,About this address,"This memorial remembers the ten people who died when the pleasure boat Stargate sank in rough seas near Baie-du-Tombeau, returning from a day trip to Île Plate off the north coast. Fourteen young holidaymakers and crew were aboard; only four survived. The tragedy led to manslaughter charges against the boat's owner, Donald Veerabadren, over the vessel's seaworthiness.",,,"Among the ten who died was the boat's own skipper, Mamode Dowlut, alongside nine young passengers including Irsand Pokun, Israq Khodabux and Yashill Oozeer - names still listed on the memorial.",port-louis-memoire-des-naufrages-du-stargate.jpg,
Les Salines Garden,"Port Louis, Mauritius",quirky,-20.1605512,57.4894478,About this spot,"This public garden in the Les Salines district takes its name from a saltworks founded on the site in 1726 by salt-worker Jean Dominique Michel de Caudan, during the era of Governor Mahé de La Bourdonnais - salt was a vital commodity then, used to preserve meat for ships' stores. Also known as Robert Edward Hart Garden, in honour of the ""prince of Mauritian poet-writers,"" who spent nearly two decades as librarian of the Mauritius Institute - succeeding his own father in the post - before retiring to a house he called La Nef, now a museum in his memory. It later became a pleasure ground and place of relaxation for Port Louis residents, and the district still holds Kwan Tee Pagoda, the oldest Chinese temple on the island, founded in 1842.",,,"The salt pans that gave the district its name were founded in 1726 - more than a decade before Port Louis itself even became the island's capital, under Labourdonnais in the 1730s.",port-louis-les-salines-garden.jpg,
Tortoise Park,"Port Louis, Mauritius",quirky,-20.1592789,57.4878258,About this spot,"Step up to the low wall of this modest concrete-and-dirt enclosure, tucked right next to Les Salines park, and a handful of giant tortoises shuffle into view - a small city attraction rather than a sprawling nature reserve, and all the more charming for it. The tortoises here are Aldabra giants, imported from the Seychelles rather than native Mauritian stock; the island's own species, the Cylindraspis tortoises, were hunted to extinction by the 1830s, killed off by sailors who kept them alive on ships as portable, self-preserving meat for long voyages. These modern residents are living stand-ins for that lost history.",,,"Bring a handful of fresh grass or leafy greens to the low wall and you'll see these supposedly sluggish animals do something unexpected - they'll genuinely hustle over for a snack, since the bare enclosure gives them nothing to forage for themselves.",port-louis-tortoise-park.jpg,
Lenin Statue Bust,"Port Louis, Mauritius",statue,-20.1594014,57.4890984,About the statue,"A bronze bust of Vladimir Lenin stands in a small square in Port Louis - an unlikely sight on a tropical island tour. It commemorates the Soviet Union's early recognition of Mauritian independence: diplomatic relations between Mauritius and the USSR were established on 17 March 1968, just five days after the island itself became independent, and Cold War-era ties between the two countries ran deep for decades afterward, from technical aid to naval agreements. Lenin isn't the only Soviet-era face watching over Port Louis, either - a bust of the poet Alexander Pushkin, an exact copy of the one in St Petersburg's Square of Arts, stands in a separate public garden elsewhere in the city, a later gift from Russia continuing the same tradition.",,,"The bust was installed in 1983 in what's known locally as Yuri Gagarin Square, named after the Soviet cosmonaut - a small cluster of Soviet-linked commemoration tucked into one corner of Port Louis.",port-louis-lenin-statue-bust.jpg,
Cimetiere de l'Ouest,"1 Cemetery Road, Port Louis, Mauritius",history,-20.1599011,57.4864133,About this address,"This is the Western Cemetery of Port Louis, established in 1771 after its predecessor near the Pouce stream was closed over fears of infection - it was originally known as the Cimetière du Fort Blanc, after a nearby fort. Its ornate Creole, French and British tombstones and mausoleums chart the island's colonial history, though the cemetery, expanded over time to 60,000 square metres, was still overwhelmed by the catastrophic 1865-67 malaria epidemic that killed roughly a third of Port Louis's population.",,,"The 1867 epidemic was so catastrophic - killing an estimated 6,000 people in a single month in Port Louis alone - that this cemetery simply ran out of room. A brand new 162-hectare cemetery had to be built that same year just to cope with the dead, and at the time it opened as the largest cemetery anywhere in the Southern Hemisphere.",port-louis-cimetiere-de-l-ouest.jpg,
1892 Hurricane Memorial,"Port Louis, Mauritius",history,-20.1587515,57.4871723,About this address,"This memorial remembers the catastrophic cyclone of 29 April 1892, which struck Mauritius with winds over 195 km/h and remains one of the deadliest tropical cyclones ever recorded in the Southern Hemisphere. Roughly a third of Port Louis was flattened, some 1,500 houses wrecked, 20,000 residents left homeless, and at least 596 people died in the city alone - out of about 1,200 deaths across the island.",,,The storm was powerful enough to snap the stone tomb-monument of Governor Malartic in Champ de Mars clean in two - a small but telling sign of just how violently the 1892 cyclone tore through the capital.,port-louis-1892-hurricane-memorial.jpg,
Marina,"Port Louis, Mauritius",building,-20.1601104,57.4969383,About the building,"This working small-boat marina on the Port Louis waterfront - locally known as ""Bassin des Chaloupes,"" the basin of the whaleboats - was built as part of the Caudan Waterfront development that opened in 1996. It offers around 20 berths with power, water, showers and laundry facilities, depths shifting between roughly 2 and 4 metres at low tide, fishing boats and pleasure craft moored side by side beneath the backdrop of the Moka mountain range.",,,"Port Louis is Mauritius's only official port of entry for yachts arriving from across the Indian Ocean - every visiting vessel must first clear Health, Immigration and Customs at the Customs Landing Steps in the main harbour before it's allowed to move here to the marina itself, and the commercial port only opens to arriving traffic between 6am and 6pm.",port-louis-marina.jpg,
Le Suffren Hotel & Marina,"Port Louis, Mauritius",building,-20.160376,57.495435,About the building,"This 4-star hotel on the Caudan Waterfront comes with its own marina, and carries the name of Pierre André de Suffren, the 18th-century French admiral who used Île de France - as Mauritius was then called - as his forward base while fighting the British for control of the Indian Ocean through the 1780s. Its nautical-themed rooms and harbour-facing terraces trade on that seafaring history right at the water's edge.",,,"His own sailors nicknamed him ""Admiral Satan"" - Suffren was famously obese, wore rumpled food-stained clothes, and swore like the sailors he commanded rather than the aristocrat he was born as, yet it was exactly that unconventional style that helped him fight Britain's navy to a standstill across five brutal battles.",port-louis-le-suffren-hotel-marina.jpg,
Meat Market,"Central Market, Port Louis, Mauritius",quirky,-20.15959409788361,57.50236698857931,About this spot,"Step into the butchery section of Port Louis's Central Market, on this site since the market moved to La Corderie Street in 1833, inside a building whose gates and cast-iron colonial architecture were inaugurated by Governor Sir William Gomm in 1844. Physically separated from the market's adjoining fish and fresh-produce halls, it supplies much of the capital's daily cooking, its trade largely following halal practice in step with the sizeable Muslim community concentrated in this part of Port Louis. Trading starts well before dawn, with the busiest activity long over by the time most of the city's shops open for the day.",,,"The oldest surviving building of Central Market dates to 1833 - meaning shoppers here are buying meat in a structure that predates the abolition of slavery in Mauritius (effective 1 February 1835, when 66,343 people were freed) by about two years.",port-louis-meat-market.jpg,
Fish Market,"Port Louis, Mauritius",quirky,-20.15935494797741,57.50255714681074,About this spot,"Step into the fish and seafood section of Central Market Port Louis, opening from around 6am each day as fishermen bring in their catch from the Indian Ocean - octopus (fresh and dried), shark, wahoo, marlin, lobster and more. Unlike the fixed-price stalls elsewhere in the market, this section still runs on an auction system, fishmongers calling out and haggling over the price of each morning's catch in full view of shoppers - louder and livelier than anywhere else in the market complex.",,,"The market's fish auctions happen daily at dawn, which means the liveliest trading here is often over before most tourists - and even most Port Louis office workers - have started their day.",port-louis-fish-market.jpg,
Rabita Hall,"28 Pope Hennessy St, Port Louis, Mauritius",building,-20.1667938,57.5062056,About the building,"This event and function hall sits in central Port Louis, on Pope Hennessy Street close to St James Cathedral, the Supreme Court and the passport office, run by the Muslim Educational Society - a community organisation founded in 1926 by Mawlana Abdullah Rashid Nawab. Alongside weddings, community gatherings and religious lectures, the hall anchors a wider network of educational and social programmes the Society runs across the capital.",,,"Nawab wasn't originally meant to stay - he arrived in 1915 on a five-year contract as Imam of the Jummah Mosque, and chose to remain in Mauritius afterward specifically to build the educational institution that became the Muslim Educational Society, rather than return home.",port-louis-rabita-hall.jpg,
Tombeau Malartic,"Port Louis, Mauritius",history,-20.1705861,57.5115532,About this address,"This obelisk-tomb stands in the grounds of Champ de Mars racecourse, raised in 1800 by the colonial administration for Anne Joseph Hippolyte de Maurès, Comte de Malartic, who governed the French territories east of the Cape of Good Hope from 1792 until his death in Port Louis on 28 July 1800. He was popular enough in office that the city's main street was later renamed Rue Malartic in his honour.",,,"Malartic had already had a long career across the French empire before Mauritius - he served in Canada, arriving at Quebec in 1755, and later governed Guadeloupe, before finishing his career here. Despite his austere, reserved manner, he was so well-loved by the colony that people saw him less as a governor than as a father figure - and a town in Quebec, Malartic, still carries his name today.",port-louis-tombeau-malartic.jpg,
Port Louis Gymkhana,"Frère Felix De Valois St, Port Louis, Mauritius",building,-20.1715418,57.5100317,About the building,"This social and sporting club sits in the British colonial ""gymkhana club"" tradition, part of a model the Empire exported across its colonies from Africa to the Caribbean and Asia. Its golf course, one of the oldest in the Southern Hemisphere, has hosted golf since 1844, when it began life as a service club for officers of the British Royal Navy stationed on the island.",,,"The club's golf course has been played continuously since 1844, making it roughly contemporary with Port Louis's Central Market and one of the oldest sporting grounds anywhere in the Indian Ocean region.",port-louis-gymkhana.jpg,
Tien Tan Chinese Pagoda,"Foot of Signal Mountain, near Chinatown, Port Louis, Mauritius",building,-20.176171,57.507138999999995,About the building,"At the foot of Signal Mountain, on the edge of Port Louis's Chinatown, this Chinese Buddhist and Taoist temple went up in the 1960s as a scaled-down replica of Beijing's famous Temple of Heaven (Tian Tan), from which it takes its name - also written locally as Thien-Thane Pagode. A bright red staircase leads up to the temple against the green backdrop of the mountain.",,,"Unlike most pagodas, which are filled with statues of deities, the inside of Tien Tan Pagoda is deliberately bare but for a single altar - visitors come to light incense and leave offerings beneath softly glowing lanterns rather than to view religious imagery, in keeping with its Taoist roots.",port-louis-tien-tan-pagoda.jpg,
La Butte Glissement de terrain,"Port Louis, Mauritius",history,-20.1676602,57.4924214,About this address,"This site marks La Butte, one of Port Louis's recognised landslide-risk zones, where steep basalt slopes and clay-rich soils have repeatedly given way after heavy rain or nearby construction work. The area has been monitored and studied by the municipality and engineering researchers for years, part of wider efforts to manage landslide hazards across the city.",,,"In August 2017, excavation work for the Metro Express rail project triggered a landslide at La Butte that cracked a road, brought down a utility pylon and damaged nearby walls - a vivid, recent example of why the site is flagged as high-risk.",port-louis-la-butte-glissement-de-terrain.jpg,
Manga Street Murals,"Venpin Street, off Royal Road, Chinatown, Port Louis, Mauritius",quirky,-20.1600031,57.507832,About this spot,"Duck into the narrow passage off Royal Road that everyone in Chinatown just calls Manga Street, and the walls close in with colour - a girl with sea-green hair, a blue-haired swordsman mid-strike, a golden-haired heroine wreathed in mist, each panel painted floor to roof on old shopfront brick. Every figure here was put up for free in June 2020 by young volunteer artists working with the New Chinatown Foundation, on a stretch of Venpin Street that had sat abandoned for years - proof, as one of the organisers put it at the time, that young people still show up to volunteer for their own neighbourhood.",,,"Many of the murals were painted to mark the 50th anniversary of diplomatic ties between Mauritius and China, turning a once-derelict back alley into one of the most photographed corners of Port Louis.",port-louis-venpin-street-mural.jpg,
Square Khadafi,"51 Madad ul Islam St, Port Louis, Mauritius",history,-20.1589129,57.5114255,About this address,"This public square in Plaine Verte, Port Louis's Muslim quarter, is popularly known as Khadafi Square - after Libyan leader Muammar Gaddafi donated a statue of himself to the city here in the 1980s, reflecting Libyan-Mauritian ties of that era. The statue came down after Gaddafi's fall from power in 2011, but the square kept his name, and it remains a community gathering point for the neighbourhood.",,,"The statue that gave the square its name outlasted Gaddafi's own rule by only months - it came down soon after his 2011 overthrow and death, yet locals still call the square by his name today.",port-louis-square-khadafi.jpg,
